,Favorite Acc,Favorite ROI,Underdog Acc,Underdog ROI,Mixed Acc,Mixed ROI
0,0.78125,0.06161105258165023,0.21875,-0.3679687500000002,0.6666666666666666,-0.03580449015733541
1,0.71875,-0.07031076728900731,0.265625,-0.28543154761904765,0.6796875,0.0007755790645804006
2,0.6349206349206349,-0.1371210268950695,0.36507936507936506,0.06955012857354434,0.6084656084656086,-0.036923330014729874
3,0.6119402985074627,-0.16144320521848454,0.373134328358209,0.13965884861407235,0.5955223880597014,-0.033350940102897235
4,0.7014925373134329,-0.04085188855429121,0.29850746268656714,0.2597014925373135,0.6218905472636816,-0.05519507110057071
5,0.7014925373134329,-0.04518570980600685,0.29850746268656714,-0.018656716417910446,0.6263681592039804,-0.013711024942481491
6,0.676923076923077,-0.08973784168936612,0.3230769230769231,0.02542124542124563,0.6087179487179489,-0.04701689441579907
7,0.7761194029850746,0.06020672855477153,0.22388059701492538,-0.19402985074626877,0.6452736318407962,-0.04094023262961759
8,0.7313432835820896,-0.0014826232960938291,0.2537313432835821,-0.09029850746268642,0.6253731343283583,-0.05089404569566645
9,0.7313432835820896,0.005466782925474933,0.2537313432835821,-0.3006396588486143,0.6298507462686567,-0.05316932601650749
10,0.6865671641791045,-0.07752941364280422,0.31343283582089554,0.29835820895522336,0.6268656716417911,-0.002242823380809152
11,0.7313432835820896,-0.03225343414418113,0.26865671641791045,-0.3088059701492536,0.6577114427860696,-0.01988982017201036
12,0.6212121212121212,-0.18475185097432548,0.36363636363636365,0.20757575757575697,0.597979797979798,-0.031432770781273156
